번호,종목코드,기업명,업종코드,업종,상장주식수(주),자본금(원),액면가(원),통화구분,대표전화,주소,총카운트
432,012800,대창,032402,1차 비철금속 제조업,"91,140,499","45,570,249,500","500",원(KRW),031-496-3000,경기도 시흥시 공단1대로 391 ,2359
433,015230,대창단조,033003,자동차 신품 부품 제조업,"2,857,223","14,286,115,000","5,000",원(KRW),055-329-3911,경남 김해시 생림면 봉림리 1072-1,2359
434,096350,대창솔루션,032501,"구조용 금속제품, 탱크 및 증기발생기 제조업","161,788,627","16,178,862,700","100",원(KRW),052-711-7700,부산광역시 강서구 화전산단1로 155 화전동,2359
435,140520,대창스틸,032401,1차 철강 제조업,"20,000,000","10,000,000,000","500",원(KRW),032-816-7700,인천광역시 남동구 아암대로 1213 &nbsp,2359
436,131220,대한과학,074605,기계장비 및 관련 물품 도매업,"7,454,490","3,727,245,000","500",원(KRW),033-737-7500,강원도 원주시  지정면 신평석화로 326 대한과학,2359
437,010170,대한광통신,032803,절연선 및 케이블 제조업,"73,741,625","36,870,812,500","500",원(KRW),031  -494 -1011,경기도 안산시 단원구 장자골로 49 ,2359
438,054670,대한뉴팜,032102,의약품 제조업,"14,354,920","7,177,460,000","500",원(KRW),02-3415-7804,경기도 화성시 향남읍 상신리 904-3 ,2359
439,001070,대한방직,031302,직물직조 및 직물제품 제조업,"5,300,000","5,300,000,000","1,000",원(KRW),02-368-0114,"서울특별시 영등포구  국제금융로2길 17 (여의도동,대한빌딩)",2359
440,023910,대한약품,032102,의약품 제조업,"6,000,000","3,000,000,000","500",원(KRW),02-2678-8443,서울특별시 영등포구 선유로45길 3 ,2359
441,006650,대한유화,032001,기초 화학물질 제조업,"6,500,000","41,000,000,000","5,000",원(KRW),02-2122-1515,서울특별시 종로구  자하문로 77 유남빌딩,2359
442,001440,대한전선,032803,절연선 및 케이블 제조업,"856,473,009","428,236,504,500","500",원(KRW),02-316-9114,경기도 안양시 동안구 관양동 1746-2 대한스마트타워 ,2359
443,084010,대한제강,032401,1차 철강 제조업,"24,646,734","24,646,734,000","1,000",원(KRW),02-1670-3300,부산광역시 사하구 하신번영로 69 ,2359
444,001790,대한제당,031006,"곡물가공품, 전분 및 전분제품 제조업","8,840,002","24,044,835,000","2,500",원(KRW),032-770-1400,인천광역시 중구  월미로 116(북성동1가) ,2359
445,001130,대한제분,031006,"곡물가공품, 전분 및 전분제품 제조업","1,690,000","8,450,000,000","5,000",원(KRW),02-3455-0200,서울특별시 중구 세종대로 39 ,2359
446,003490,대한항공,085101,항공 여객 운송업,"94,844,634","479,777,140,000","5,000",원(KRW),02-2656-7114,서울특별시 강서구 하늘길 260 ,2359
447,005880,대한해운,085001,해상 운송업,"24,427,109","122,135,545,000","5,000",원(KRW),02-3701-0114,서울특별시 강서구 마곡중앙8로 78 에스엠알엔디센터 ,2359
448,003830,대한화섬,032005,화학섬유 제조업,"1,328,000","6,640,000,000","5,000",원(KRW),02-3406-0300,서울특별시 중구  동호로 310 ,2359
449,016090,대현,031401,봉제의복 제조업,"44,282,310","26,906,155,000","500",원(KRW),02-3485-7000,"서울특별시 강남구 언주로 619 (논현동, 대현그린타워) ",2359
450,069460,대호에이엘,032402,1차 비철금속 제조업,"27,134,839","13,567,419,500","500",원(KRW),053-610-5400,대구광역시 달성군  논공읍 논공중앙로 211 ,2359
451,021040,대호피앤씨,032401,1차 철강 제조업,"73,112,826","38,677,646,000","500",원(KRW),055 -388 -4001,경상남도 양산시  산막공단북4길 13 (주)대호피앤씨 ,2359
452,067080,대화제약,032102,의약품 제조업,"18,224,974","9,112,487,000","500",원(KRW),02-586-6451,강원도 횡성군  횡성읍 한우로 495 ,2359
453,192080,더블유게임즈,105802,소프트웨어 개발 및 공급업,"18,265,502","9,132,751,000","500",원(KRW),02-501-7219,서울특별시 강남구 테헤란로 152 강남파이낸스센터 16층 ,2359
454,035290,더블유에프엠,105801,"서적, 잡지 및 기타 인쇄물 출판업","2,570,137","1,285,068,500","500",원(KRW),02-565-4874,"서울특별시 금천구  가산디지털1로 131 B동 15층(가산동, BYC하이시티)",2359
455,012510,더존비즈온,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","29,672,700","14,836,350,000","500",원(KRW),02-6233-3000,강원도 춘천시 남산면 버들1길 130 ,2359
456,302920,더콘텐츠온,105901,"영화, 비디오물, 방송프로그램 제작 및 배급업","4,552,359","2,276,179,500","500",원(KRW),02-2183-1930,"서울특별시 강남구 테헤란로 322 동관 601호, 602호, 603호, 604호, 605호(역삼동, 한신인터밸리24) ",2359
457,213420,덕산네오룩스,032602,전자부품 제조업,"24,010,012","4,802,002,400","200",원(KRW),041-590-5400,충청남도 천안시 서북구 입장면 쑥골길 21-32 ,2359
458,317330,덕산테코피아,032004,기타 화학제품 제조업,"18,377,428","9,188,714,000","500",원(KRW),041-903-9700,충청남도 천안시 동남구 풍세면 풍세산단2로 39 &nbsp,2359
459,077360,덕산하이메탈,032601,반도체 제조업,"22,718,501","4,543,700,200","200",원(KRW),052-289-0443,울산광역시 북구  무룡1로 66 ,2359
460,004830,덕성,032202,플라스틱제품 제조업,"15,680,000","8,536,000,000","500",원(KRW),031-204-0781,경기도 수원시 영통구  신원로 25 ,2359
461,090410,덕신하우징,032501,"구조용 금속제품, 탱크 및 증기발생기 제조업","43,825,059","4,382,505,900","100",원(KRW),02-2600-2600,충청남도 천안시 동남구 수신면 수신로 485-34 ,2359
462,024900,덕양산업,033003,자동차 신품 부품 제조업,"32,564,980","16,282,490,000","500",원(KRW),052-219-1114,울산광역시 북구  효암로 366 ,2359
463,263600,덕우전자,032602,전자부품 제조업,"15,930,310","8,037,610,500","500",원(KRW),054-474-9661,경상북도 구미시 산동면 첨단기업7로 98-23 &nbsp,2359
464,194480,데브시스터즈,105802,소프트웨어 개발 및 공급업,"11,204,370","5,602,185,000","500",원(KRW),02-2148-0652,서울특별시 강남구 도산대로 327 데브시스터즈(주) ,2359
465,263800,데이타솔루션,074605,기계장비 및 관련 물품 도매업,"15,768,580","7,884,290,000","500",원(KRW),02-3467-7200,"서울특별시 강남구 언주로 620, 10층 ",2359
466,199150,데이터스트림즈,105802,소프트웨어 개발 및 공급업,"4,097,598","2,048,799,000","500",원(KRW),02-3473-9077,"서울특별시 서초구 사임당로 28 6층 (서초동, 청호나이스)",2359
467,139050,데일리블록체인,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","50,853,346","25,426,673,000","500",원(KRW),031-470-4803,경기도 안양시 만안구 예술공원로 153-323층(석수동 825-1 3층) ,2359
468,206560,덱스터,105901,"영화, 비디오물, 방송프로그램 제작 및 배급업","25,348,136","12,674,068,000","500",원(KRW),02-6391-7000,"서울특별시 마포구 매봉산로 75 1801호, 1901호(상암동,디디엠씨) ",2359
469,145720,덴티움,032701,의료용 기기 제조업,"11,068,830","6,184,415,000","500",원(KRW),070-7098-9158,서울특별시 강남구 자곡로 174-10 강남에이스타워 821호 ,2359
470,067990,도이치모터스,074501,자동차 판매업,"28,037,345","14,018,672,500","500",원(KRW),02-2243-6165,서울특별시 성동구 동일로 111 (성수동 2가) ,2359
471,002150,도화엔지니어링,137201,"건축기술, 엔지니어링 및 관련 기술 서비스업","33,720,000","16,860,000,000","500",원(KRW),02-6323-3032,서울특별시 강남구  삼성로 438 도화타워 ,2359
472,006620,동구바이오제약,032102,의약품 제조업,"9,604,000","4,802,000,000","500",원(KRW),02-2684-5421,"서울특별시 송파구 법원로 114, B동 14층 ",2359
473,100130,동국S&C,032501,"구조용 금속제품, 탱크 및 증기발생기 제조업","57,143,000","28,571,500,000","500",원(KRW),054-271-0542,경상북도 포항시 남구 대송로 62(장흥동) ,2359
474,005160,동국산업,032401,1차 철강 제조업,"54,244,482","54,244,482,000","1,000",원(KRW),02-316-7500,서울특별시 중구  다동길 46 ,2359
475,075970,동국알앤에스,032309,기타 비금속 광물제품 제조업,"18,400,000","18,400,000,000","1,000",원(KRW),(055)323-6589,경상남도 김해시  상동면 상동로375번길 26-29 동국내화(주) ,2359
476,001230,동국제강,032401,1차 철강 제조업,"95,432,737","589,228,035,000","5,000",원(KRW),02-317-1114,서울특별시 중구  을지로5길 19 페럼타워,2359
477,086450,동국제약,032102,의약품 제조업,"8,892,000","22,230,000,000","2,500",원(KRW),02-2191-9800,서울특별시 강남구  테헤란로108길 7 동국제약 ,2359
478,023450,동남합성,032001,기초 화학물질 제조업,"3,621,788","3,125,564,000","500",원(KRW),041-840-3100,충청남도 공주시 탄천면 탄천산업단지길 80-61 -,2359
479,004140,동방,085209,기타 운송관련 서비스업,"33,465,588","33,465,588,000","1,000",원(KRW),02-2190-8100,서울특별시 중구 남대문로 63 한진빌딩 23층,2359
480,099410,동방선기,033101,선박 및 보트 건조업,"13,541,002","6,770,501,000","500",원(KRW),055-545-0882,경상남도 창원시 진해구 명제로 73 ,2359
481,007590,동방아그로,032003,"비료, 농약 및 살균, 살충제 제조업","13,617,577","6,808,788,500","500",원(KRW),02-580-3600,"서울특별시 관악구  남부순환로 2028 남현동, 동방빌딩",2359
482,005960,동부건설,064102,토목 건설업,"21,828,663","110,271,975,000","5,000",원(KRW),02-3484-2114,서울특별시 용산구 한강대로 372 제D동,2359
483,016380,동부제철,032401,1차 철강 제조업,"100,008,897","500,311,410,000","5,000",원(KRW),02-3450-8027,서울특별시 중구 한강대로 416 서울스퀘어 7층,2359
484,083370,동북아12호선박투자,147601,운송장비 임대업,"1,585,660","7,928,300,000","5,000",원(KRW),02-590-1400,부산광역시 사상구 사상로 461 (모라동),2359
485,083380,동북아13호선박투자,147601,운송장비 임대업,"1,585,660","7,928,300,000","5,000",원(KRW),02-590-1400,부산광역시 사상구 사상로 461 (모라동),2359
486,026960,동서,074603,음·식료품 및 담배 도매업,"99,700,000","49,850,000,000","500",원(KRW),02-701-5050,서울특별시 마포구 독막로 324 동서빌딩 ,2359
487,002210,동성제약,032102,의약품 제조업,"26,070,748","26,070,748,000","1,000",원(KRW),02-6911-3600,서울특별시 도봉구  도봉로 683  (방학동) 동성빌딩,2359
488,102260,동성코퍼레이션,137105,회사 본부 및 경영 컨설팅 서비스업,"45,444,970","45,444,970,000","1,000",원(KRW),02-2136-4300,부산광역시 사하구  신산로 99 ,2359
489,033500,동성화인텍,032001,기초 화학물질 제조업,"26,983,609","13,821,804,500","500",원(KRW),02-6190-8500,부산광역시 사하구 신산로 99 - ,2359
490,005190,동성화학,032001,기초 화학물질 제조업,"5,335,564","5,531,244,000","1,000",원(KRW),051-200-4500,부산광역시 사하구  신산로 99 ,2359
491,025950,동신건설,064102,토목 건설업,"8,400,000","4,200,000,000","500",원(KRW),053 -756 -7701,경상북도 안동시  서동문로 217 ,2359
492,000640,동아쏘시오홀딩스,116409,기타 금융업,"6,138,297","30,691,485,000","5,000",원(KRW),02-920-8114,서울특별시 동대문구  천호대로 64 ,2359
493,170900,동아에스티,032102,의약품 제조업,"8,443,868","42,219,340,000","5,000",원(KRW),02-920-8114,서울 동대문구 용두동 138 ~255 천호대로 64,2359
494,088130,동아엘텍,032902,특수 목적용 기계 제조업,"10,662,938","5,575,148,000","500",원(KRW),031-345-1500,경기도 안양시 동안구 시민대로327번길 12-24 (주)동아엘텍 빌딩 ,2359
495,028100,동아지질,064201,기반조성 및 시설물 축조관련 전문공사업,"11,500,000","5,750,000,000","500",원(KRW),051-580-5550,부산광역시 금정구  금샘로 347 동아지질,2359
496,282690,동아타이어,032201,고무제품 제조업,"13,733,015","6,866,507,500","500",원(KRW),055-389-0011,경상남도 양산시 유산공단11길 11 ,2359
497,041930,동아화성,032201,고무제품 제조업,"15,800,000","8,000,000,000","500",원(KRW),055)313 - 1800,경상남도 김해시  유하로 154-9 ,2359
498,001520,동양,032303,"시멘트, 석회, 플라스터 및 그 제품 제조업","238,684,063","119,850,042,500","500",원(KRW),02-6150-7000,서울특별시 영등포구 국제금융로2길 24 - ,2359
499,084670,동양고속,084902,육상 여객 운송업,"2,895,569","16,959,295,000","5,000",원(KRW),02-535-3111,경기도 안양시 동안구 흥안대로 67 ,2359
500,002900,동양물산기업,032902,특수 목적용 기계 제조업,"126,004,610","63,002,305,000","500",원(KRW),02-3014-2742,서울특별시 강남구 언주로133길 7 ,2359
501,082640,동양생명,116501,보험업,"161,358,585","806,792,925,000","5,000",원(KRW),02-1577-1004,서울특별시 종로구 종로 33 (청진동),2359
502,060380,동양에스텍,032401,1차 철강 제조업,"10,000,000","5,000,000,000","500",원(KRW),042-221-6900,대전광역시 중구 중앙로 164번길 20(은행동) 동양빌딩 4층,2359
503,079960,동양이엔피,032801,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","7,860,000","3,930,000,000","500",원(KRW),(031)236-1511,경기도 평택시 진위면 진위산단로 76 ,2359
504,008970,동양철관,032401,1차 철강 제조업,"118,885,290","59,442,645,000","500",원(KRW),02-6903-0200,충청남도 천안시 동남구  풍세면 풍세로 515 동양철관(주),2359
505,228340,동양파일,032303,"시멘트, 석회, 플라스터 및 그 제품 제조업","20,000,000","10,000,000,000","500",원(KRW),02-3770-3157,충청남도 아산시 염치읍 아산온천로 16-127 ,2359
506,092780,동양피스톤,033001,자동차용 엔진 및 자동차 제조업,"13,168,460","6,584,230,000","500",원(KRW),031-489-9000,경기도 안산시 단원구 해봉로255번길 16 ,2359
507,104460,동양피엔에프,032901,일반 목적용 기계 제조업,"10,713,625","5,356,812,500","500",원(KRW),02-2106-8000,"서울특별시 금천구  가산디지털1로 88 IT프리미어타워 17층, 18층",2359
508,088910,동우팜투테이블,031001,"도축, 육류 가공 및 저장 처리업","25,831,764","12,915,882,000","500",원(KRW),063-450-2000,전라북도 군산시  서수면 동군산로 1095 주식회사 동우 ,2359
509,094170,동운아나텍,032601,반도체 제조업,"15,758,872","8,075,619,000","500",원(KRW),02-3465-8765,"서울특별시 서초구 남부순환로 2351, 아리랑타워 9층",2359
510,049770,동원F&B,031007,기타 식품 제조업,"3,859,124","19,295,620,000","5,000",원(KRW),02-589-3000-1,서울특별시 서초구  마방로 68 (양재동) 동원산업빌딩,2359
511,013120,동원개발,064101,건물 건설업,"90,808,100","45,404,050,000","500",원(KRW),051 -645 -3113,"부산광역시 수영구 수영로 754 동원빌딩 (민락동,센텀비스타동원)",2359
512,018500,동원금속,033003,자동차 신품 부품 제조업,"46,754,933","23,377,466,500","500",원(KRW),053-859-2311,경상북도 경산시  진량읍 북리1길  69,2359
513,006040,동원산업,010301,어로 어업,"3,677,641","18,388,205,000","5,000",원(KRW),02-589-3333,서울특별시 서초구 마방로 68 (양재동),2359
514,030720,동원수산,010301,어로 어업,"4,653,805","23,269,025,000","5,000",원(KRW),02-528-8000,서울특별시 강남구  테헤란로8길 8 동주빌딩 6층,2359
515,014820,동원시스템즈,032202,플라스틱제품 제조업,"25,618,511","129,419,345,000","5,000",원(KRW),02-589-4700,"경기도 성남시 중원구 갈마치로 302 에이-607호(상대원동, 성남우림라이온스밸리5차)",2359
516,163560,동일고무벨트,032201,고무제품 제조업,"13,350,000","6,675,000,000","500",원(KRW),051-520-9114,부산광역시 금정구 공단동로55번길 28 ,2359
517,109860,동일금속,032403,금속 주조업,"7,000,000","3,500,000,000","500",원(KRW),054-333-5501,경북 영천시 금호읍 덕성리 327,2359
518,032960,동일기연,032602,전자부품 제조업,"3,284,246","4,892,123,000","500",원(KRW),031 -356 -7114,경기도 화성시  남양로930번길 28 동일기연,2359
519,004890,동일산업,032401,1차 철강 제조업,"2,425,215","12,126,075,000","5,000",원(KRW),054-288-7500,경상북도 포항시 남구  괴동로 112 (장흥동) 동일산업(주),2359
520,002690,동일제강,032401,1차 철강 제조업,"15,000,000","7,500,000,000","500",원(KRW),031-677-1234,경기도 안성시 미양면 안성맞춤대로 474-40 ,2359
521,023790,동일철강,032401,1차 철강 제조업,"7,345,085","3,672,542,500","500",원(KRW),051 -316 -5341,부산 북구 학장동 716-1 ,2359
522,005290,동진쎄미켐,032001,기초 화학물질 제조업,"51,414,494","25,707,247,000","500",원(KRW),02-325-9451,인천광역시 서구  백범로 644 ,2359
523,025900,동화기업,031602,나무제품 제조업,"20,198,382","10,599,191,000","500",원(KRW),02-2122-0651,인천광역시 서구 가정로97번길 28(가좌동) ,2359
524,000020,동화약품,032102,의약품 제조업,"27,931,470","27,931,470,000","1,000",원(KRW),02-2021-9300,서울특별시 중구 남대문로9길 24 패스트파이브타워 6~8층(다동),2359
525,000150,두산,137105,회사 본부 및 경영 컨설팅 서비스업,"16,523,835","123,738,105,000","5,000",원(KRW),02-3398-0114,서울특별시 중구  장충단로 275 두산타원,2359
526,241560,두산밥캣,032901,일반 목적용 기계 제조업,"100,249,166","50,124,583,000","500",원(KRW),02-3398-0993,서울특별시 중구 장충단로 275 ,2359
527,336370,두산솔루스,032602,전자부품 제조업,"30,589,758","3,960,220,800","100",원(KRW),,전라북도 익산시 석암로11길 11 ,2359
528,042670,두산인프라코어,032902,특수 목적용 기계 제조업,"208,161,279","1,040,806,395,000","5,000",원(KRW),032-211-1114,인천광역시 동구  인중로 489(화수동) ,2359
529,034020,두산중공업,032901,일반 목적용 기계 제조업,"253,140,778","1,265,703,890,000","5,000",원(KRW),055-278-6114,경상남도 창원시 성산구  두산볼보로 22 두산중공업 주식회사,2359
530,336260,두산퓨얼셀,032801,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","55,493,726","7,184,422,600","100",원(KRW),02-3398-3808,전라북도 익산시 석암로7길 100 (팔봉동),2359
531,016740,두올,033003,자동차 신품 부품 제조업,"27,066,680","67,666,700,000","2,500",원(KRW),02-6922-7132,서울특별시 강남구 영동대로96길 20 대화빌딩 2층 ,2359
532,078590,두올산업,033003,자동차 신품 부품 제조업,"73,171,900","14,634,380,000","200",원(KRW),02-6925-2176,경남 밀양시 산내면 가인리 364번지 ,2359
533,073190,듀오백,033201,가구 제조업,"11,968,040","5,984,020,000","500",원(KRW),032-816-4814,인천 서구 가좌동 543-2 ,2359
534,176750,듀켐바이오,032102,의약품 제조업,"8,858,687","4,429,343,500","500",원(KRW),023324868,서울특별시 서대문구 경기대로 47진양빌딩 4층 동관 ,2359
535,030350,드래곤플라이,105802,소프트웨어 개발 및 공급업,"16,008,491","8,004,245,500","500",원(KRW),02-522-9393,서울특별시 서초구 서초중앙로22길 80 (서초동),2359
536,203650,드림시큐리티,105802,소프트웨어 개발 및 공급업,"50,605,754","5,060,575,400","100",원(KRW),02-2233-5533,"서울특별시 송파구 중대로8길 8 3층, 5층, 6층, 7층 (문정동, 서경빌딩)",2359
537,060570,드림어스컴퍼니,074607,기타 전문 도매업,"56,859,847","28,429,923,500","500",원(KRW),(02)3019-1700,서울특별시 서초구  방배로18길 5 BH빌딩 ,2359
538,192650,드림텍,032602,전자부품 제조업,"62,722,835","6,272,283,500","100",원(KRW),031-620-1500,경기도 성남시 분당구 황새울로 314 ,2359
539,220110,드림티엔터테인먼트,137309,"그외 기타 전문, 과학 및 기술 서비스업","10,664,262","2,132,852,400","200",원(KRW),02-3452-2525,"서울특별시 송파구 법원로 114 B동 511호(문정동,엠스테이트)",2359
540,217620,디딤,095601,음식점업,"37,001,905","3,700,190,500","100",원(KRW),032-819-6870,인천광역시 남동구 논현로46번길 39-24 -,2359
541,187870,디바이스이엔지,032902,특수 목적용 기계 제조업,"6,782,000","3,391,000,000","500",원(KRW),041-629-5200,충청남도 아산시 음봉면 음봉로 169 ,2359
542,066670,디스플레이텍,032602,전자부품 제조업,"18,691,918","9,345,959,000","500",원(KRW),070-7015-3811,경기도 안성시  공단1로 10 (주)디스플레이테크,2359
543,024090,디씨엠,032401,1차 철강 제조업,"11,700,000","6,000,000,000","500",원(KRW),055-366-9991,경상남도 양산시  웅상농공단지길 55 ,2359
544,003160,디아이,032702,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","31,496,785","17,248,392,500","500",원(KRW),02-546-5501,서울특별시 강남구  논현로 703 ,2359
545,001530,디아이동일,074601,상품 중개업,"2,421,420","12,107,100,000","5,000",원(KRW),02-2222-3071,서울특별시 강남구  테헤란로 516 정헌빌딩 8층,2359
546,092200,디아이씨,033003,자동차 신품 부품 제조업,"38,888,569","19,444,284,500","500",원(KRW),052-255-0500,울산광역시 울주군  두동면 봉계농공길 8 ,2359
547,110990,디아이티,032902,특수 목적용 기계 제조업,"18,900,000","1,890,000,000","100",원(KRW),031-831-7000,경기도 화성시 정남면 가장로 355-50 ,2359
548,263690,디알젬,032701,의료용 기기 제조업,"11,325,610","5,662,805,000","500",원(KRW),02-869-8566,경기도 광명시 하안로 60 광명테크노파크 E동 7층 &nbsp;,2359
549,214680,디알텍,032701,의료용 기기 제조업,"50,592,577","5,059,257,700","100",원(KRW),031-779-7400,경기도 성남시 중원구 둔촌대로541번길 29 상대원동 3층,2359
550,263720,디앤씨미디어,105801,"서적, 잡지 및 기타 인쇄물 출판업","12,275,111","6,137,555,500","500",원(KRW),02-333-2513,"서울특별시 구로구 디지털로26길 111, 503호(구로동, 제이앤케이디지털타워) ",2359
551,109740,디에스케이,032902,특수 목적용 기계 제조업,"20,354,763","10,177,381,500","500",원(KRW),031-416-9100,경기도 안산시 상록구 수인로710(사사동) -,2359
552,033430,디에스티,032902,특수 목적용 기계 제조업,"64,191,253","6,419,125,300","100",원(KRW),031-997-6181,경상남도 창원시 마산회원구 봉암공단9길 26 3층,2359
553,131030,디에이치피코리아,032102,의약품 제조업,"16,564,797","8,282,398,500","500",원(KRW),02-2027-0078,충청북도 청원군 오송읍 오송생명6로 50 (지번주소 : 충청북도 청원군 오송읍 만수리 491),2359
554,196490,디에이테크놀로지,032902,특수 목적용 기계 제조업,"57,541,222","28,770,611,000","500",원(KRW),031-369-8813,경기도 화성시 비봉면 쌍학길 15 (쌍학리 250-2),2359
555,066900,디에이피,032602,전자부품 제조업,"22,744,503","11,372,251,500","500",원(KRW),031-677-0005,경기 안성시 미양면 보체리 404-1 ,2359
556,127120,디엔에이링크,137001,자연과학 및 공학 연구개발업,"11,869,981","5,934,990,500","500",원(KRW),02-3153-1500,서울특별시 서대문구 이화여대길 52 이화여자대학교 산학협력관2층 디엔에이링크,2359
557,092070,디엔에프,032004,기타 화학제품 제조업,"10,761,828","5,380,914,000","500",원(KRW),042-932-7939,대전광역시 대덕구  대화로132번길 142 디엔에프 ,2359
558,134580,디엠티,032604,통신 및 방송 장비 제조업,"11,250,000","5,625,000,000","500",원(KRW),02-3400-4600,"서울특별시 강남구 언주로 726 14층(논현동, 두산빌딩)",2359
559,039840,디오,032701,의료용 기기 제조업,"15,523,602","7,761,801,000","500",원(KRW),051-745-7777,부산광역시 해운대구 센텀서로 66 ,2359
560,196450,디오스텍,032703,사진장비 및 광학기기 제조업,"135,970,735","27,194,147,000","200",원(KRW),031-8006-0030,경기도 용인시 처인구 남사면 당하로 113-12 ,2359
561,013570,디와이,116409,기타 금융업,"26,319,633","13,159,816,500","500",원(KRW),032-810-4100,인천광역시 남동구  남동서로362번길 36 (남촌동),2359
562,210540,디와이파워,032902,특수 목적용 기계 제조업,"11,041,708","5,520,854,000","500",원(KRW),055-278-0800,경상남도 창원시 성산구 웅남로 812 (성주동),2359
563,079810,디이엔티,032902,특수 목적용 기계 제조업,"12,602,948","6,301,474,000","500",원(KRW),031-831-4300,경기도 오산시 가장산업서북로 40-56 -,2359
564,227100,디자인,032801,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","2,660,910","1,330,455,000","500",원(KRW),02-868-0246,서울특별시 강남구 도산대로37길 17 스페이스엘빌딩 건물일체 ,2359
565,113810,디젠스,033003,자동차 신품 부품 제조업,"32,628,051","16,314,025,500","500",원(KRW),041-906-2100,경기도 시흥시 공단1대로27번길 38 (정왕동) ,2359
566,043360,디지아이,032603,컴퓨터 및 주변장치 제조업,"9,000,000","4,500,000,000","500",원(KRW),031-820-8900,경기도 양주시 청담로 52 (주)디지아이 ,2359
567,197140,디지캡,105802,소프트웨어 개발 및 공급업,"7,409,323","3,704,661,500","500",원(KRW),02-3477-2101,서울특별시 강서구 마곡중앙8로7길 11 &nbsp,2359
568,106520,디지탈옵틱,032703,사진장비 및 광학기기 제조업,"91,462,617","45,731,308,500","500",원(KRW),02-538-5370,경기도 화성시 동탄면 동탄산단2길 47 4층,2359
569,068930,디지털대성,168505,일반 교습 학원,"22,557,223","11,278,611,500","500",원(KRW),(02)2104-8600,서울특별시 서초구  방배로 181 단우빌딩  ,2359
570,033130,디지틀조선,106301,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","37,115,267","18,557,633,500","500",원(KRW),02-3701-2821,서울특별시 중구  세종대로21길 52 (태평로1가) ,2359
571,033310,디케이디앤아이,032509,기타 금속 가공제품 제조업,"21,972,411","10,986,205,500","500",원(KRW),02-2636-2431,서울특별시 영등포구  여의대로 14 KT빌딩 16층,2359
572,105740,디케이락,032901,일반 목적용 기계 제조업,"8,449,912","4,224,956,000","500",원(KRW),055-338-0114,경상남도 김해시 주촌면 골든루트로129번길 7 ,2359
573,263020,디케이앤디,032202,플라스틱제품 제조업,"7,763,202","3,881,601,000","500",원(KRW),031-491-6633,경기도 안산시 단원구 별망로 345 ,2359
574,290550,디케이티,032602,전자부품 제조업,"8,231,333","4,115,666,500","500",원(KRW),070-4324-3293,인천광역시 부평구 안남로418번길 10 5층 ,2359
575,007340,디티알오토모티브,032802,일차전지 및 축전지 제조업,"9,994,005","4,997,002,500","500",원(KRW),055-380-5800,울산광역시 울주군 온산읍 처용산업2길 12 디티알 오토모티브,2359
576,187220,디티앤씨,137209,기타 과학기술 서비스업,"10,951,507","5,475,753,500","500",원(KRW),031-329-3411,경기도 용인시 처인구 유림로154번길 42 ,2359
577,026890,디피씨,032801,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","41,678,175","20,839,087,500","500",원(KRW),031-599-0100,경기도 안산시 단원구  산단로19번길  145(목내동),2359
578,163430,디피코,137201,"건축기술, 엔지니어링 및 관련 기술 서비스업","3,347,750","1,673,875,000","500",원(KRW),031-688-1500,경기도 군포시 공단로140번길 47-7 ,2359
579,131180,딜리,032603,컴퓨터 및 주변장치 제조업,"29,350,000","2,935,000,000","100",원(KRW),031-860-5500,경기도 동두천시 강변로702번길 30 ,2359
580,317120,라닉스,032601,반도체 제조업,"9,435,500","4,794,670,000","500",원(KRW),02-584-5516,"서울특별시 강남구 남부순환로 2645, 3층(도곡동, 한독빌딩) ",2359
581,042510,라온시큐어,105802,소프트웨어 개발 및 공급업,"31,809,612","15,904,806,000","500",원(KRW),02-561-4545,"서울특별시 강남구 테헤란로 145 역삼동, 우신빌딩 11, 12, 13층 ",2359
582,232680,라온테크,032902,특수 목적용 기계 제조업,"4,332,705","2,166,352,500","500",원(KRW),031-201-0005,경기도 수원시 권선구 산업로156번길 88-4(고색동) ,2359
583,300120,라온피플,105802,소프트웨어 개발 및 공급업,"10,328,456","5,164,228,000","500",원(KRW),1899-3058,경기도 성남시 분당구 판교로 723 분당테크노파크B동 402-1호 &nbsp,2359
584,036170,라이브파이낸셜,032601,반도체 제조업,"39,116,090","39,116,090,000","1,000",원(KRW),031 -205 -5300,경기도 수원시 영통구 신원로 170 (신동) ,2359
585,050120,라이브플렉스,074604,생활용품 도매업,"83,088,255","42,815,711,000","500",원(KRW),02-3446-4875,서울특별시 강남구 언주로 702 8층 (논현동),2359
586,171120,라이온켐텍,032004,기타 화학제품 제조업,"18,358,538","9,179,269,000","500",원(KRW),042-930-3300,대전 대덕구 문평동 41-5 ,2359
587,069540,라이트론,032604,통신 및 방송 장비 제조업,"18,553,773","9,276,886,500","500",원(KRW),(042)930-7700,대전광역시 대덕구  문평동로 68 (주)빛과전자 ,2359
